,title,year
221,The Babadook,2014
199,The Birds,1963
5,The Black Cauldron,1985
139,The Blair Witch Project,1999
229,The Bride Of Frankenstein,1935
70,The Brood,1979
196,The Cabin In The Woods,2012
231,The Cabinet Of Dr. Caligari (Das Cabinet Des Dr. Caligari),1920
72,The Cat O' Nine Tails (Il Gatto A Nove Code),1971
128,The Conjuring,2013
100,The Conjuring 2,2016
270,The Craft,1996
293,The Curse Of La Llorona,2019
18,The Dark Crystal,1982
146,The Dead Zone,1983
109,The Descent,2006
149,The Devil'S Backbone (El Espinazo Del Diablo),2001
132,The Devil'S Candy,2017
167,The Endless,2018
181,The Evil Dead,1981
127,The Exorcist,1973
131,The Fall Of The House Of Usher,1960
74,The Fury,1978
108,The Girl With All The Gifts,2017
238,The Guest,2014
252,The Haunted Mansion,2003
260,The Haunting In Connecticut,2009
115,The House Of The Devil,2019
36,The Howling,1981
178,The Innocents,1961
223,The Invisible Man,1933
116,The Invitation,2016
264,The Last Exorcism,2010
0,The Little Vampire,2000
63,The Lost Boys,1987
175,The Love Witch,2016
179,The Loved Ones,2012
46,The Mist,2007
23,The Monster Squad,1987
169,The Mummy,1932
224,The Night Of The Hunter,1955
35,The Nightmare Before Christmas,1993
95,The Omen,1976
123,The Orphanage,2007
92,The Others,2001
263,The Perfection,2019
262,The Purge,2013
54,The Ring,2002
276,The Rocky Horror Picture Show,1975
89,The Shallows,2016
133,The Shining,1980
206,The Silence Of The Lambs,1991
274,The Sixth Sense,1999
291,The Strangers,2008
125,The Tenant,1976
278,The Texas Chain Saw Massacre,1974
141,The Texas Chainsaw Massacre,1974
102,The Thing,1982
197,The Wailing (Goksung),2016
6,The Watcher In The Woods,1981
130,The Wicker Man,1973
204,The Witch,2016
32,The Witches,1990
182,The Wolf Man,1941
296,The Worst Witch,1986
148,Theater Of Blood (Theatre Of Blood),1973
82,Three...Extremes (Saam Gaang Yi),2005
195,Tigers Are Not Afraid (Vuelven),2019
20,Tim Burton'S Corpse Bride,2005
244,Toy Story Of Terror,2014
10,Toy Story Of Terror!,2013
273,Train To Busan,2016
157,Train To Busan (Busanhaeng),2016
88,Tremors,1990
61,Trick 'R Treat,2007
90,Tucker And Dale Vs. Evil,2011
279,Twilight,2008
297,Twitches,2005
202,Under The Shadow,2016
255,Under Wraps,1997
233,Us,2019
215,Vampyr - Der Traum Des Allan Grey,1932
79,Videodrome,1983
145,Village Of The Damned,1960
28,Wallace & Gromit: The Curse Of The Were-Rabbit,2005
150,We Are Still Here,2015
261,We Have Always Lived In The Castle,2019
66,Wes Craven'S New Nightmare,1994
281,What We Do In The Shadows,2014
44,Wolfen,1981
75,You'Re Next,2013
258,Young Frankenstein,1974
171,Zombieland,2009
