title,year,rating,movie_poster_str,movie_summary,user_rating_count,user_review_count,critic_review_count,movie_mpaa_rating,movie_runtime,movie_genres,movie_release_date,box_office_gross_domestic,box_office_gross_intl,url
The Cabinet of Dr. Caligari,1920,8.1,"https://m.media-amazon.com/images/M/MV5BNWJiNGJiMTEtMGM3OC00ZWNlLTgwZTgtMzdhNTRiZjk5MTQ1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR3,0,182,268_AL_.jpg","Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",51519,217,148,Not Rated,76,"Fantasy, Horror, Mystery",27 February 1920 (Germany),--,--,https://www.imdb.com/title/tt0010323/
The Cat o' Nine Tails,1971,6.7,"https://m.media-amazon.com/images/M/MV5BZTY3MjliZmYtZWUzMi00NDFkLThhYjgtNGFkNWUwOTFmM2QxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY268_CR5,0,182,268_AL_.jpg","A newspaper reporter and a retired, blind journalist try to solve a series of killings connected to a pharmaceutical company's experimental, top-secret research projects and in so doing, both become targets of the killer.",8756,80,128,GP,112,"Horror, Mystery, Thriller",21 May 1971 (USA),--,--,https://www.imdb.com/title/tt0065761/
The Conjuring,2013,7.5,"https://m.media-amazon.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,410871,1001,555,R,112,"Horror, Mystery, Thriller",19 July 2013 (USA),137400141,319494638,https://www.imdb.com/title/tt1457767/
The Conjuring 2,2016,7.3,"https://m.media-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",Ed and Lorraine Warren travel to North London to help a single mother raising 4 children alone in a house plagued by a supernatural spirit.,204272,513,400,R,134,"Horror, Mystery, Thriller",10 June 2016 (USA),102470008,320392818,https://www.imdb.com/title/tt3065204/
The Craft,1996,6.3,"https://m.media-amazon.com/images/M/MV5BZTBkMWE1NGItZTgxMi00ZTE0LWIzZjAtNzQ5ZGZlZTQxN2EwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",70299,213,114,R,101,"Drama, Fantasy, Horror",3 May 1996 (USA),24819936,--,https://www.imdb.com/title/tt0115963/
The Curse of La Llorona,2019,5.4,"https://m.media-amazon.com/images/M/MV5BNjU4NjU4ZDktOTg2Ny00MWI2LThiMTAtMGFkZGE1MWI5MzhjXkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_UX182_CR0,0,182,268_AL_.jpg","Ignoring the eerie warning of a troubled mother suspected of child endangerment, a social worker and her own small kids are soon drawn into a frightening supernatural realm.",25860,448,204,R,93,"Horror, Mystery, Thriller",19 April 2019 (USA),54733739,122133739,https://www.imdb.com/title/tt4913966/
The Dark Crystal,1982,7.2,"https://m.media-amazon.com/images/M/MV5BNTU2MmJiZmQtZjBmMS00MTk4LWFmOWYtZGQzOTY5ODNjYWVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg","On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and so restore order to his world.",57345,267,112,PG,93,"Adventure, Family, Fantasy",17 December 1982 (USA),41357492,41373966,https://www.imdb.com/title/tt0083791/
The Dead Zone,1983,7.2,"https://m.media-amazon.com/images/M/MV5BMDk2ZGVkY2UtZGE0MS00NTY1LThiZjYtYjQxMTAwMjM5M2VlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",A man awakens from a coma to discover he has a psychic ability.,56084,212,93,R,103,"Drama, Horror, Sci-Fi",21 October 1983 (USA),20766616,--,https://www.imdb.com/title/tt0085407/
The Descent,2005,7.2,"https://m.media-amazon.com/images/M/MV5BMjA5NzQ1NTgwNV5BMl5BanBnXkFtZTcwNjUxMzUzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",188564,1191,356,R,99,"Adventure, Horror, Thriller",4 August 2006 (USA),26024456,57130027,https://www.imdb.com/title/tt0435625/
The Devil's Backbone,2001,7.4,"https://m.media-amazon.com/images/M/MV5BZTI3MDcwZGItZDMwNS00ZDBjLWEwOGEtMWEyMWUxNDlkYzBjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","After Carlos - a 12-year-old whose father has died in the Spanish Civil War - arrives at an ominous boys' orphanage, he discovers the school is haunted and has many dark secrets which he must uncover.",58328,225,161,R,106,"Drama, Horror",20 April 2001 (Spain),6582065,--,https://www.imdb.com/title/tt0256009/
